NAME,total_population,white_nonhispanic,black_nonhispanic,asian_nonhispanic,hispanic,college_grad,grad_school,education_total,commute_total,commute_solo,commute_public,owner_occupied,renter_occupied,total_occupied,vacant_units,total_units,white_nonhispanic_share,black_nonhispanic_share,asian_nonhispanic_share,hispanic_share,college_grad_share,grad_school_share,commute_solo_share,commute_public_share,owner_occ_share,renter_occ_share,median_income_est,median_rent_est,median_home_value_est
ANGELO,956.9039201116256,599.5132523228153,47.31720871552145,129.15960071400113,86.52461565671463,131.43281675285775,52.994647909304085,747.8938211327536,479.04858395221777,307.71217282535827,40.464211793990735,325.61474430949966,56.98931293654151,382.6040572460412,14.589047987392965,397.1931052334341,0.6265135294386509,0.049448233747440146,0.13497656138657504,0.09042142459466702,0.1757372678300654,0.07085851816376668,0.6423402200392491,0.08446786641170156,0.8510488536197267,0.1489511463802732,98142.5068300686,93.31815432459584,102278.62086654922
ANNIE,277.83369305429227,120.36731048347598,7.316002147826756,44.560143273736955,73.59239088657814,51.98102433969132,18.239949244651722,207.17578886399713,130.73509138182604,97.29935126632277,0.007033250483109948,62.47931420794503,45.07373472675874,107.55304893470377,7.7895445890893535,115.34259352379314,0.43323510968108053,0.026332307170524188,0.1603842312423545,0.2648792883165443,0.25090298738437455,0.08804093057719954,0.7442481604433919,5.379772491662989e-05,0.5809162532052129,0.41908374679478705,117172.41000616628,52.76024821419029,85578.27088028844
AQUA,567.0139870039386,175.43325086145512,19.036121226959462,114.09512677232546,247.30429674436468,76.40130673806834,35.4678811240916,376.82101985426704,257.1244527759373,165.57679760613948,39.696988128312064,108.24140691845724,92.61076492705341,200.85217184551064,9.79600477007427,210.64817661558493,0.30939845379905334,0.03357257786098888,0.20122100933558262,0.436152021665467,0.2027522423446973,0.09412394546835141,0.6439558580234528,0.15438822601172322,0.538910811488328,0.4610891885116721,64878.58187068036,1691.245624517008,76948.14938761944
ARIA,463.852952266323,215.39838197213163,90.37130801074544,80.24124379692033,30.65695367357632,72.51042696533594,39.72073099309818,282.8437424494103,187.67391335775164,108.76555873972791,2.3992418642792277,110.89809942056546,84.24003187984586,195.13813130041132,17.327859842327936,212.46599114273923,0.4643678151011526,0.1948274934312769,0.17298853743384068,0.06609196626601292,0.2563621395241057,0.14043347980449902,0.5795454295898577,0.012784098873164623,0.568305633970841,0.43169436602915906,67273.03002917663,2227.0001195779573,38166.01928608246
ARTHUR,1059.1724975912393,830.1416741246978,0.0052907445824627915,55.37967216769098,95.07671010638484,240.10969625096212,109.26393444641761,832.9071930194967,546.7430374788124,344.1687091486852,21.477391123742173,357.34352249007,50.364858178330415,407.70838066840037,18.47823365415967,426.18661432256005,0.7837643783355389,4.995168015120253e-06,0.05228579130749234,0.08976508578405071,0.2882790522921341,0.13118380458488843,0.6294889656679397,0.039282422731491067,0.8764684255551435,0.12353157444485656,147868.308743115,0.0750047257015194,120712.56111680304
ASPEN GLEN,256.64216764141116,200.72943216243607,0.0,21.539863864867485,23.71533550121462,80.83585612625639,25.954676053373696,211.83165394959696,92.51549556508864,65.23576511098301,0.0029631610549899733,86.96026012580404,5.303917980141769,92.26417810594582,0.005577714927039949,92.26975582087286,0.7821373783083916,0.0,0.08392955866459048,0.09240623128756636,0.3816042343959152,0.12252501252503711,0.7051333910337954,3.2028808113612295e-05,0.9425137893273016,0.05748621067269841,196536.5429338839,0.0,256594.12208520866
AUB 30-0046,1394.4297939744158,517.7359517163496,5.1543016323899575,2.670009139307769,804.542211414445,95.88101278975812,9.681389966644923,811.0418611817455,538.054117665188,353.27871127516147,37.32577141317544,350.718795578149,119.16084356473543,469.87963914288446,0.033278372528659235,469.9129175154131,0.3712886471255711,0.0036963507626290187,0.0019147677070910011,0.5769686038630398,0.11821956101014648,0.011936979371864298,0.6565858334253922,0.06937177913468166,0.7464013469872863,0.2535986530127136,69199.33145155781,1743.0195112781687,49596.89271753763
AUB 30-0050,1029.4797306094558,376.7249327493154,4.594605810662666,17.449816000022626,286.44910308129886,90.91014648507608,4.303320313941007,680.4442644367217,580.9430819039451,471.3791007033337,20.42181491546297,217.38818643281135,208.13682593441544,425.5250123672268,17.418606839659592,442.94361920688635,0.36593720259678436,0.004463036691302939,0.016950130712813812,0.2782464720424558,0.1336041043131319,0.006324280383939068,0.8114032430827242,0.03515286703911482,0.5108705249157152,0.4891294750842848,82855.14049496577,1644.7338456700816,43007.743729434675
AUB 30-0053,1235.1356800930814,561.3152960354304,203.74923676037406,120.23391668777258,174.6927747341593,123.04630089420984,0.2200982326645101,985.5358013782268,711.4732473441957,581.3719260653716,8.195752668440004,273.4403981014917,263.84423481017257,537.2846329116643,0.015241705802834012,537.2998746174671,0.45445638489945406,0.16496101606021069,0.09734470360269375,0.14143610094803044,0.12485218773598605,0.00022332850045296454,0.8171381400994775,0.011519410883028007,0.5089302417224512,0.4910697582775489,78893.94057672234,2064.6949179709754,42159.48240582582
AUB 30-0054,1421.8653684320416,404.2547518006348,43.58058210462447,179.0662760547444,488.14791474592164,88.02203803797558,142.26489565619934,1022.1210165288958,845.7016574841243,519.9490325171643,5.155833530295202,187.8647419675045,339.33542811180627,527.2001700793109,27.150457852781845,554.3506279320926,0.2843129601267564,0.030650287342382385,0.12593757470315864,0.3433151447272575,0.08611704153867886,0.13918596071855396,0.614813779677291,0.0060965158157940446,0.3563442362684415,0.6436557637315583,80078.47547209593,1447.8112708037281,41489.68903452988
AUB 30-0067,2954.245745220191,993.242449200072,345.56024078544993,77.70242395127248,1338.644587685773,153.151553615404,38.166774300828926,1793.0220897228457,1382.9831698074013,1107.3782059635316,25.061969918507078,560.0572132380387,404.8884140554011,964.9456272934397,43.20812366897508,1008.1537509624148,0.33620847243567475,0.11697071624611717,0.026301950024635146,0.4531256717054183,0.08541531891504874,0.021286282260319787,0.8007170514719631,0.0181216738320809,0.5804028718270211,0.41959712817297906,74218.81199414328,1364.5038901307003,32851.01495521429
AUB 30-0070,1688.708263639207,757.1217285074141,156.61714155170432,85.2143654128803,380.11224667455133,68.50045789299206,47.35533939086185,1128.000167764554,860.9048625282336,552.2206859477835,35.14861171244352,291.46457893881126,276.53963146601996,568.0042104048313,12.106709186383554,580.1109195912148,0.4483437102840952,0.09274375268004588,0.05046127104822789,0.22509053509064988,0.060727347256290545,0.041981677613319536,0.6414421732107167,0.040827521416503566,0.513138060598313,0.48686193940168687,82416.13479560171,1735.1012309040855,39554.13506215764
AUB 30-0081,1482.4473301734404,710.7885823171839,146.47951266774444,76.6063082344024,311.2188963794422,105.53172439650507,22.540828677352298,1060.7833162558616,816.3383217084483,571.1966730552778,17.1294295831589,290.14460019513524,299.1658485510545,589.3104487461898,7.744170369166936,597.0546191153567,0.47946970381337223,0.09880925256926797,0.05167556828170062,0.20993588780184913,0.09948471358786977,0.021249230009491814,0.6997058178769147,0.020983248155385017,0.49234592872473854,0.5076540712752614,72509.86068132089,1355.3653235100087,37616.08825902995
AUB 30-2702,1197.7169274689702,605.841492176843,2.8680827416106087,42.00624841288093,511.26385849442465,84.6760488951845,19.896482147254524,802.0895202606399,497.86501212456267,300.5311363119256,34.2812421749782,314.67113738595833,149.6402020326746,464.31133941863294,14.45984322689349,478.77118264552644,0.5058302828341205,0.0023946248698943212,0.035071933484023675,0.4268653525460591,0.10556932456575285,0.02480581237464509,0.6036397999318229,0.06885649993496883,0.6777158140913809,0.322284185908619,74571.45708822172,1753.4859433210756,87671.77873388561
AUB 30-2703,204.22076158062242,31.529392174503652,38.40521640649218,1.7715393183388852,132.3205864616825,3.6647581007284398,2.392880968070127,123.05851119872234,93.98500386220783,81.24449085030012,1.6770499098704574,35.28872157605606,27.414210527830257,62.70293210388632,4.262966396766704,66.96589850065303,0.15438876992952774,0.1880573557225255,0.008674628889969718,0.6479291597854749,0.029780614644446382,0.019445066779704152,0.8644410013475482,0.01784380317022909,0.5627922075093658,0.43720779249063424,68555.21746299346,1722.2652166285573,8531.032563042614
AUB 30-3476,2428.632886394455,254.72375059985245,510.61562777297416,106.40463124941404,1212.57995186503,20.039383723968694,106.6193274686081,1104.5862906044501,947.786104128897,702.4276408228739,64.10560964768024,160.24673582977775,479.61075005500425,639.857485884782,0.8900763603703301,640.7475622451523,0.10488359604568107,0.21024817321445127,0.043812562963100696,0.49928499225143264,0.018141981205472658,0.09652421759667507,0.7411246459120328,0.06763721199162254,0.2504412925765677,0.7495587074234322,73819.26750644491,1785.7484655538267,6914.245624618964
